x	y
-0.533855003893575	1279.69659972935
-0.493038677362963	1180.53791584763
-0.452222350832351	1085.51084379432
-0.411406024301738	994.615383569413
-0.370589697771126	907.851535172912
-0.329773371240514	825.219298604815
-0.288957044709902	746.718673865123
-0.248140718179289	672.349660953836
-0.207324391648677	602.112259870954
-0.166508065118065	536.006470616477
-0.125691738587453	474.032293190404
-0.0848754120568404	416.189727592737
-0.0440590855262281	362.478773823474
-0.00324275899561588	312.899431882616
0.0375735675349964	267.451701770163
0.0783898940656086	226.135583486114
0.119206220596221	188.951077030471
0.160022547126833	155.898182403232
0.200838873657445	126.976899604398
0.241655200188058	102.187228633969
0.28247152671867	81.5291694919451
0.323287853249282	65.0027221783258
0.364104179779894	52.6078866931113
0.404920506310507	44.3446630363016
0.445736832841119	40.2130512078967
0.486553159371731	40.2130512078967
0.527369485902343	44.3446630363015
0.568185812432956	52.6078866931111
0.609002138963568	65.0027221783256
0.64981846549418	81.5291694919449
0.690634792024792	102.187228633969
0.731451118555405	126.976899604398
0.772267445086017	155.898182403232
0.813083771616629	188.95107703047
0.853900098147241	226.135583486114
0.894716424677853	267.451701770162
0.935532751208466	312.899431882615
0.976349077739078	362.478773823473
1.01716540426969	416.189727592736
1.0579817308003	474.032293190403
1.09879805733091	536.006470616476
1.13961438386153	602.112259870953
1.18043071039214	672.349660953836
1.22124703692275	746.718673865123
1.26206336345336	825.219298604814
1.30287968998398	907.851535172911
1.34369601651459	994.615383569412
1.3845123430452	1085.51084379432
1.42532866957581	1180.53791584763
1.46614499610643	1279.69659972935
